"{'tlp': (1900, 2295), 'brp': (2261, 2000), 'border': 50, 'loc_back_radius': 50, 'max_radius': 30, 'selection_std_multiplier': 4, 'growth_std_multiplier': 4}"
Name,Centre x,Centre y,Calibrated Magnitude,CM Error,Radius,Area,Total Uncorrected Flux Through Aperture,F Error form Bakcgorund Removal,F Number Counting Error,Aperture Cutoff Flux Correction,ACFC Error,Background Flux Mean,Background Flux Std
27,65,159,17.129193391444797,0.058461346089013565,6,113,387338,85.76338447641544,40.98210737164768,175.3760248920749,30.66919419237226,3412.9067865077764,8.067940552016985
28,180,196,18.100778839615593,0.11721563775151156,4,49,167872,56.475583864118896,26.282528546891687,67.26230697094093,53.07571612746126,3411.861810064935,8.067940552016985
29,211,244,17.627845729790472,0.08015647196671455,5,81,277465,72.61146496815286,32.77572864311642,97.57377599680309,33.728921509233935,3412.2315013816396,8.067940552016985
30,99,205,18.520565002955657,0.17638593727976612,4,49,167663,56.475583864118896,21.11428274477172,69.14766024152111,57.99616314552767,3412.5956543708944,8.067940552016985
31,181,208,17.68841856074294,0.09638959369943631,5,81,277340,68.78980891719745,31.25095067047074,131.6149038834731,63.018827877061945,3411.893556570269,7.643312101910828
32,100,87,17.67102694697954,0.09599222026445463,6,113,386681,81.24952213555146,32.005217418040985,101.7978550237557,47.823712580061134,3412.890850071008,7.643312101910828
33,98,61,18.622840979167176,0.13620772423549568,4,49,167687,53.503184713375795,21.298457106191712,15.041897712474336,11.859469281899534,3412.9260352019533,7.643312101910828
34,229,78,17.33626306815195,0.08660234690545296,6,113,387121,94.79110915814337,36.14500827717549,226.37113339365376,68.24055927916815,3414.287950235778,8.9171974522293
35,258,197,18.168163755267678,0.10272823733741808,4,49,167782,59.447983014862,24.3378399120929,120.08691530035547,20.425626342063598,3412.034072416599,8.492569002123142
36,187,156,17.91120337322989,0.11859754829588093,6,113,386430,90.2772468172794,29.395457160402103,38.55556906583711,26.600340152257594,3412.0876734365575,8.492569002123142
37,247,172,17.416973508896206,0.08987417935076576,7,149,509775,103.6650158448722,37.122923327212916,44.90722832641573,41.84201891721676,3412.059654789543,8.492569002123142
38,128,125,18.64889377960658,0.12819886531980357,3,29,99344,45.733883712394935,19.60182079415366,73.32276040415896,21.047159684140997,3412.405814536341,8.492569002123142
39,169,194,19.092930961794767,0.16713496484246979,3,29,99247,43.44718952677519,17.21531533966501,7.6007422796965285,2.3357727013310994,3412.0907902674444,8.067940552016985
40,276,177,18.008602341537017,0.10925998310323191,4,49,167891,56.475583864118896,26.230054935560617,137.18392182274218,54.940014443110876,3412.305800368928,8.067940552016985
