"{'border': 100, 'loc_back_radius': 100, 'max_radius': 60, 'selection_std_multiplier': 4, 'growth_std_multiplier': 4}"
Name,Centre x,Centre y,Calibrated Magnitude,CM Error,Radius,Area,Total Uncorrected Flux Through Aperture,F Error form Bakcgorund Removal,F Number Counting Error,Aperture Cutoff Flux Correction,ACFC Error,Background Flux Mean,Background Flux Std
85,2139,3654,12.994943021658797,0.005232627916071034,17,901,3151584,280.4104309432526,289.0755733343187,6.321243013090378e-09,9.573881689158225e-09,3405.126873364523,9.341825902335456
86,2114,2053,12.990043683392596,0.00496442005885372,16,797,2805725,251.7430815145267,289.72853025830256,5.0574537361102165e-08,8.714483709344575e-08,3415.0343522639446,8.9171974522293
87,2106,247,12.515581214235556,0.0046986081090758,18,1009,3570995,431.62307055337146,360.48214369774036,7.425222812870063e-05,8.562825330156881e-05,3410.3544341675733,13.588110403397028
88,852,3446,12.056738165214906,0.0031441293804533054,23,1653,5849639,362.5474126160328,445.29966348807966,1.9178328694799052e-05,2.2532977166479518e-05,3418.8428370825186,8.9171974522293
89,110,2008,12.928367074615892,0.005303053839612386,14,613,2183299,315.39919498445727,298.0757068618799,0.0010456605821148968,0.00131041802202769,3416.7208368332635,12.738853503184714
90,1237,3546,12.964734009039244,0.00439532494669003,12,441,1593870,187.2611464968153,293.125096876296,0.07700107950526583,0.08897419859064543,3419.382488846399,8.9171974522293
91,1632,2387,13.241189921363713,0.005742078385492766,16,797,2789129,239.75531572812065,258.08455538083894,6.0283349934955e-09,9.526505237942655e-09,3415.961558687421,8.492569002123142
92,249,3208,13.076049187948476,0.006022867629553398,15,709,2500301,327.8915343652961,278.4775325885628,4.3879042885677815e-05,6.138020401256908e-05,3417.138594983619,12.314225053078557
93,1401,3466,12.612066491326978,0.0041714083655593984,19,1129,3976475,299.6231422035161,344.8154379986816,6.831247521020543e-06,7.777209758301982e-06,3416.8089581202635,8.9171974522293
94,187,1900,13.17792424315288,0.007794321190170386,18,1009,3517752,431.62307055337146,265.71443693769567,1.0695413619923876e-09,1.7468131088239964e-09,3416.4002358799635,13.588110403397028
95,1118,4327,12.37534485630366,0.004189628094088186,20,1257,4450680,421.53608597418554,384.5307088301858,0.00015310950216263617,0.00013326322739066557,3423.0836387959866,11.8895966029724
96,2052,3670,13.135600600323576,0.005469962467841241,16,797,2787484,251.7430815145267,270.94421326495143,9.369275473002993e-07,1.249366349319582e-06,3405.361647802053,8.9171974522293
97,1067,1219,12.867612843515928,0.005151444058933832,18,1009,3563019,323.7173029150286,306.5331381161004,8.050714900436841e-07,1.1392051731037857e-06,3438.1134145061405,10.19108280254777
98,513,705,12.493513300707475,0.0042070518340636895,23,1653,5787123,362.5474126160328,364.16427598657503,1.1650347854480958e-10,3.137150318007391e-10,3420.754615907546,8.9171974522293
99,1243,1157,13.296533954331425,0.008173077602642931,18,1009,3540695,404.64662864378573,251.58990384103822,1.0015399271030713e-12,1.9627220817531432e-12,3446.3800993907403,12.738853503184714
100,1425,2415,13.606856322444886,0.006915532556871347,14,613,2141903,210.26612998963816,218.0864763035258,1.0968756739912956e-06,2.702114207647281e-06,3416.5437012292196,8.492569002123142
101,2467,4138,11.37710631389204,0.0027971416577629634,28,2453,8742782,736.0815072550196,608.9458040439619,0.16209243164946968,0.23098601731725932,3412.9502681358554,14.8619957537155
102,1714,4291,13.140469580099648,0.006057988394072355,15,709,2490257,305.2783250987239,270.3373696043987,7.002573387675137e-05,7.62363844434083e-05,3409.2732109948865,11.464968152866241
103,1248,4036,12.356743239777355,0.0036117172173303572,20,1257,4459038,316.1520644806391,387.83888515908455,0.0015723401201585977,0.001551654149959629,3427.7000788850905,8.9171974522293
104,1260,1610,13.371386932087491,0.006642417575725512,12,441,1579827,267.515923566879,243.06509938067325,0.0023521022014028055,0.0030310107907214247,3448.404438691754,12.738853503184714
105,2139,1549,13.57226236708851,0.007616811202368209,16,797,2774796,263.73084730093274,221.58865763762608,4.592040686408014e-11,9.163418137205372e-11,3419.9428692676975,9.341825902335456
106,627,4316,12.73417110480371,0.004843707340548482,17,901,3190956,344.14007433944636,325.9610961046683,0.0046527872841988895,0.004511901233284681,3423.646352748328,11.464968152866241
107,1266,1627,13.610085941816095,0.0077405162931018625,12,441,1568011,258.5987261146497,217.7623573494615,0.0005177395071435118,0.0007112853761137893,3448.05114676101,12.314225053078557
108,1668,1183,13.442934137219908,0.01025832930016526,20,1257,4384467,466.7006666142768,235.18692428605823,5.989463387170378e-18,1.4255448549471114e-17,3444.036683090584,13.163481953290871
109,1024,4369,12.087361185693153,0.0036307707848883095,21,1373,4891360,472.02566404201036,439.0637315024765,0.17650040588148455,0.12288934816280574,3422.1289436847205,12.738853503184714
110,2200,1074,13.541194443539315,0.005610236951043048,8,197,723847,131.11877479728253,224.72774564058057,24.290195322149046,21.674893608736113,3417.992082940622,9.341825902335456
111,869,1728,11.137067922269527,0.0019829419506430567,29,2629,9473275,500.76298275289713,680.1070577019672,19.45644552016798,19.824371484285233,3427.4360555587573,9.766454352441613
112,988,4427,11.962298181920762,0.0037134907969485174,24,1793,6350300,575.3726467190523,465.0934729625437,0.11841433421333922,0.04434061932287903,3421.0753270538985,13.588110403397028
113,911,3005,13.40249985183517,0.006379314281221643,15,709,2480221,237.4386972990075,239.60729131779766,2.753170223699377e-06,3.860121541257915e-06,3417.220516145766,8.9171974522293
114,1856,1578,13.689536466377186,0.007229986871444693,13,529,1858449,205.0955414012739,209.93879816262316,1.1781502072309933e-05,1.691053150174842e-05,3429.819850710838,8.9171974522293
115,1141,1131,13.074941718970134,0.005601552186498859,16,797,2819023,287.70637887374477,278.6195943732416,0.000208317726935197,0.0003129850499325509,3439.6413069401383,10.19108280254777
116,1969,2449,12.587053958152415,0.004470653529370922,24,1793,6241487,359.6079041994077,348.81022583729816,2.0351538020517507e-09,4.767720914909093e-09,3413.1725746521656,8.492569002123142
117,2406,4052,12.428918534926094,0.004651685906312724,18,1009,3579207,472.08773341775003,375.15908599326156,0.5340166401674487,0.26411698439116327,3407.792527449654,14.8619957537155
118,1323,2882,11.824366513385677,0.0027501330743767587,25,1961,6946590,376.0779588192701,495.59461010249834,0.13891414690637446,0.10379023766766927,3417.1218676376097,8.492569002123142
119,322,1819,13.431591965383546,0.006867082281495111,14,613,2150322,262.8326624870477,236.41858087242932,0.0002103152370967172,0.00022112651636571997,3416.6855703397496,10.615711252653927
120,1012,2496,13.560561433588866,0.006944052224441934,15,709,2472741,226.13209266572142,222.7859062445268,5.510716509411713e-07,7.797749840827454e-07,3417.640959067426,8.492569002123142
121,1598,4477,12.199012552729648,0.004527148126534024,24,1793,6298900,593.3530419290228,417.05899218096135,2.239159119206935e-05,4.00167144066597e-05,3416.041158416621,14.012738853503185
122,1413,132,12.876829819656255,0.0062625840215628364,19,1129,3952595,442.3008289670953,305.2347928123956,8.222291558707589e-06,1.619852248163124e-05,3418.447051600331,13.163481953290871
123,546,657,12.43955141467962,0.0038036207697437854,21,1373,4836473,314.6837760280069,373.32725782044577,0.010748921006440853,0.009452082785331743,3421.0486224095166,8.492569002123142
